Academic_Year,School_ID,District,Area_Type,Gender,Caste_Category,Standard,Family_Income_Level,Attendance_Rate,Distance_To_School_km,Academic_Performance,Student_Interest_Level,Transport_Available,Parental_Education,Midday_Meal,Internet_Access,Working_Student,Disability_Status,Family_Size,Mother_Education,Scholarship_Status,Secondary_Level,Far_Distance,Low_Attendance,Risk_Score,Risk_Category,Alert_Flag,Dropout_Reason,Recommended_Action,Priority_Level
2023,SCH_048,Dahod,Rural,Male,General,10,Low,95.6,20.58,Low,High,Yes,Secondary,Yes,Yes,No,No,6,Primary,No,1,1,0,30,Low,NO,Travel Constraint,Provide Transport,Low Priority
2022,SCH_046,Dahod,Urban,Female,SC,5,Low,55.3,1.51,Low,Medium,Yes,Secondary,No,Yes,No,No,4,Graduate,Yes,0,0,1,16,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2021,SCH_007,Bharuch,Rural,Female,SC,7,Medium,58.3,25.5,High,Medium,Yes,Primary,Yes,No,Yes,No,4,Illiterate,Yes,0,1,1,47,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2022,SCH_126,Navsari,Rural,Female,SC,12,Low,85.6,20.12,Medium,Medium,Yes,Primary,No,Yes,Yes,No,7,Secondary,No,1,1,0,37,Low,NO,Travel Constraint,Provide Transport,Low Priority
2024,SCH_147,Dahod,Rural,Female,ST,1,Low,79.0,22.06,High,Low,Yes,Secondary,Yes,Yes,No,No,5,Illiterate,Yes,0,1,0,40,Low,NO,Travel Constraint,Provide Transport,Low Priority
2019,SCH_172,Patan,Rural,Female,SC,6,Low,44.0,16.14,Low,Medium,No,Primary,Yes,Yes,No,No,8,Illiterate,No,0,1,1,37,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2024,SCH_178,Kutch,Rural,Female,OBC,2,Low,87.4,4.87,Medium,Medium,No,Primary,No,No,Yes,No,4,Primary,Yes,0,0,0,36,Low,NO,Social Factor,Community Engagement,Low Priority
2021,SCH_080,Junagadh,Rural,Male,General,4,Very Low,46.7,1.0,High,Medium,No,Illiterate,Yes,Yes,No,No,2,Secondary,Yes,0,0,1,28,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2024,SCH_060,Anand,Rural,Female,OBC,8,Medium,81.3,19.19,High,Low,Yes,Secondary,No,Yes,No,No,7,Primary,No,0,1,0,24,Low,NO,Travel Constraint,Provide Transport,Low Priority
2019,SCH_110,Anand,Rural,Male,General,2,Medium,89.7,16.26,Low,Low,Yes,Illiterate,Yes,Yes,No,No,5,Primary,No,0,1,0,15,Low,NO,Travel Constraint,Provide Transport,Low Priority
2024,SCH_157,Patan,Tribal,Female,OBC,11,Very Low,43.4,3.83,Medium,Medium,No,Primary,Yes,Yes,No,No,3,Primary,Yes,1,0,1,54,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2024,SCH_160,Kutch,Rural,Male,SC,2,Medium,98.3,16.54,Medium,High,No,Illiterate,Yes,Yes,No,No,2,Primary,Yes,0,1,0,22,Low,NO,Travel Constraint,Provide Transport,Low Priority
2025,SCH_101,Surat,Urban,Female,OBC,2,Low,92.6,5.98,Medium,Low,Yes,Illiterate,Yes,Yes,No,No,3,Primary,No,0,1,0,18,Low,NO,Travel Constraint,Provide Transport,Low Priority
2025,SCH_144,Banaskantha,Rural,Female,OBC,4,Medium,86.1,9.09,Medium,High,Yes,Illiterate,No,No,No,No,2,Secondary,Yes,0,1,0,24,Low,NO,Travel Constraint,Provide Transport,Low Priority
2019,SCH_040,Navsari,Rural,Male,OBC,5,High,78.2,25.26,Medium,Low,No,Illiterate,No,No,No,No,2,Secondary,No,0,1,0,23,Low,NO,Travel Constraint,Provide Transport,Low Priority
2024,SCH_096,Bharuch,Urban,Male,OBC,11,Very Low,57.1,21.64,Low,Low,No,Illiterate,Yes,No,Yes,No,5,Graduate,Yes,1,1,1,56,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2021,SCH_071,Sabarkantha,Urban,Male,OBC,10,Medium,67.1,4.11,Medium,Medium,Yes,Primary,Yes,Yes,No,No,6,Secondary,Yes,1,0,1,30,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2019,SCH_159,Bhavnagar,Urban,Male,OBC,2,Low,64.8,22.97,High,High,Yes,Illiterate,No,Yes,No,No,3,Primary,No,0,1,1,34,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2024,SCH_047,Amreli,Rural,Female,General,6,Very Low,46.2,27.59,Medium,High,No,Primary,Yes,Yes,Yes,No,7,Illiterate,No,0,1,1,41,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2025,SCH_155,Amreli,Tribal,Female,General,2,High,41.9,2.19,Medium,Medium,No,Primary,Yes,Yes,No,No,4,Illiterate,No,0,0,1,28,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2025,SCH_069,Patan,Urban,Male,General,11,Very Low,75.5,27.91,Low,Medium,No,Secondary,Yes,No,No,No,2,Secondary,Yes,1,1,0,43,Medium,NO,Travel Constraint,Provide Transport,Monitor
2019,SCH_146,Navsari,Rural,Female,SC,9,High,52.9,0.15,High,High,No,Illiterate,No,No,No,No,5,Secondary,No,1,0,1,46,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2022,SCH_138,Valsad,Urban,Female,General,5,Medium,73.4,8.98,Medium,Medium,Yes,Illiterate,No,No,No,No,2,Secondary,No,0,1,0,22,Low,NO,Travel Constraint,Provide Transport,Low Priority
2019,SCH_047,Kutch,Tribal,Male,SC,8,High,61.7,7.59,Medium,Medium,No,Primary,Yes,No,No,Yes,4,Illiterate,Yes,0,1,1,44,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2019,SCH_141,Valsad,Tribal,Female,SC,4,High,82.4,20.14,Medium,Low,Yes,Illiterate,Yes,Yes,No,Yes,5,Primary,Yes,0,1,0,22,Low,NO,Travel Constraint,Provide Transport,Low Priority
2025,SCH_141,Gandhinagar,Rural,Male,SC,7,Medium,85.9,10.98,Low,Medium,No,Primary,Yes,No,No,No,5,Illiterate,Yes,0,1,0,20,Low,NO,Travel Constraint,Provide Transport,Low Priority
2023,SCH_125,Surat,Rural,Male,OBC,8,Very Low,56.8,3.41,Medium,Medium,Yes,Secondary,Yes,No,No,Yes,8,Illiterate,No,0,0,1,28,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2024,SCH_008,Gandhinagar,Tribal,Female,OBC,7,Medium,90.8,6.43,Medium,High,Yes,Graduate,Yes,Yes,No,No,3,Secondary,Yes,0,1,0,30,Low,NO,Travel Constraint,Provide Transport,Low Priority
2023,SCH_048,Mehsana,Urban,Female,General,3,High,75.2,2.83,Low,High,Yes,Secondary,No,No,No,No,7,Graduate,No,0,0,0,20,Low,NO,Social Factor,Community Engagement,Low Priority
2021,SCH_126,Dahod,Rural,Male,ST,4,Low,96.6,17.18,High,Medium,No,Secondary,Yes,No,No,No,4,Secondary,No,0,1,0,15,Low,NO,Travel Constraint,Provide Transport,Low Priority
2025,SCH_180,Dahod,Urban,Female,OBC,8,Very Low,97.4,10.54,Low,Medium,Yes,Secondary,No,No,No,No,7,Secondary,Yes,0,1,0,37,Low,NO,Travel Constraint,Provide Transport,Low Priority
2024,SCH_048,Sabarkantha,Urban,Female,ST,2,High,59.5,7.27,Low,Low,Yes,Secondary,Yes,No,Yes,No,5,Illiterate,No,0,1,1,54,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2024,SCH_028,Bharuch,Rural,Male,SC,5,Very Low,85.8,22.92,High,Medium,Yes,Primary,No,No,No,No,2,Illiterate,Yes,0,1,0,14,Low,NO,Travel Constraint,Provide Transport,Low Priority
2019,SCH_142,Anand,Tribal,Male,SC,3,High,72.8,14.45,Low,Medium,No,Primary,Yes,No,No,No,8,Illiterate,No,0,1,0,28,Low,NO,Travel Constraint,Provide Transport,Low Priority
2021,SCH_002,Banaskantha,Rural,Female,General,3,High,99.8,19.45,Medium,Medium,Yes,Graduate,Yes,No,Yes,No,3,Primary,No,0,1,0,34,Low,NO,Travel Constraint,Provide Transport,Low Priority
2019,SCH_007,Amreli,Rural,Male,General,11,Medium,49.7,9.36,High,Medium,Yes,Graduate,Yes,Yes,No,No,8,Secondary,No,1,1,1,38,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2023,SCH_067,Surat,Rural,Female,OBC,4,Medium,68.2,16.27,High,High,Yes,Secondary,Yes,Yes,No,No,2,Primary,No,0,1,1,26,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2023,SCH_106,Navsari,Rural,Male,SC,4,Low,53.1,5.29,Medium,Medium,Yes,Illiterate,Yes,No,Yes,No,2,Secondary,Yes,0,1,1,36,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2025,SCH_047,Kutch,Urban,Female,OBC,11,Low,46.5,2.3,Low,High,No,Illiterate,Yes,Yes,No,No,6,Secondary,Yes,1,0,1,40,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2024,SCH_112,Vadodara,Rural,Female,ST,8,High,82.1,8.51,Low,Medium,Yes,Primary,Yes,Yes,No,No,4,Primary,Yes,0,1,0,38,Low,NO,Travel Constraint,Provide Transport,Low Priority
2019,SCH_080,Bharuch,Rural,Male,General,10,High,99.1,23.17,Low,High,No,Primary,No,Yes,Yes,No,5,Primary,No,1,1,0,50,Medium,NO,Travel Constraint,Provide Transport,Monitor
2023,SCH_102,Banaskantha,Rural,Female,OBC,3,Very Low,96.4,16.79,Medium,Medium,No,Secondary,Yes,Yes,No,Yes,5,Illiterate,Yes,0,1,0,38,Low,NO,Travel Constraint,Provide Transport,Low Priority
2019,SCH_160,Junagadh,Urban,Female,ST,2,Medium,48.2,27.03,High,Low,No,Secondary,Yes,No,No,No,4,Primary,Yes,0,1,1,34,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2019,SCH_034,Bhavnagar,Urban,Female,OBC,12,Low,48.2,19.53,High,Low,Yes,Primary,Yes,No,No,No,2,Secondary,Yes,1,1,1,44,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2025,SCH_035,Dahod,Urban,Female,General,6,Very Low,57.5,14.04,High,Medium,Yes,Illiterate,Yes,Yes,No,Yes,8,Secondary,No,0,1,1,44,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2024,SCH_115,Bhavnagar,Rural,Male,General,12,Low,89.5,9.57,Low,Low,Yes,Primary,Yes,Yes,No,No,4,Illiterate,No,1,1,0,45,Medium,NO,Travel Constraint,Provide Transport,Monitor
2021,SCH_163,Valsad,Rural,Female,General,8,High,52.7,27.73,High,Medium,Yes,Illiterate,Yes,Yes,No,No,7,Illiterate,No,0,1,1,33,Low,NO,Academic Disengagement,Counselling Support,Low Priority
