Student_ID,Academic_Year,School_ID,District,Area_Type,Gender,Caste_Category,Standard,Family_Income_Level,Attendance_Rate,Distance_To_School_km,Academic_Performance,Student_Interest_Level,Transport_Available,Parental_Education,Midday_Meal,Internet_Access,Working_Student,Disability_Status,Family_Size,Mother_Education,Scholarship_Status,Dropout,Secondary_Level,Far_Distance,Low_Attendance,Risk_Score,Risk_Category,Alert_Flag,Dropout_Reason,Recommended_Action,Priority_Level
STU_GUJ_001936,2023,SCH_048,Dahod,Rural,Male,General,10,Low,95.6,20.58,Low,High,Yes,Secondary,Yes,Yes,No,No,6,Primary,No,0,1,1,0,39,Low,NO,Travel Constraint,Provide Transport,Low Priority
STU_GUJ_006495,2022,SCH_046,Dahod,Urban,Female,SC,5,Low,55.3,1.51,Low,Medium,Yes,Secondary,No,Yes,No,No,4,Graduate,Yes,0,0,0,1,25,Low,NO,Academic Disengagement,Counselling Support,Low Priority
STU_GUJ_001721,2021,SCH_007,Bharuch,Rural,Female,SC,7,Medium,58.3,25.5,High,Medium,Yes,Primary,Yes,No,Yes,No,4,Illiterate,Yes,1,0,1,1,53,Medium,NO,Academic Disengagement,Counselling Support,Monitor
STU_GUJ_009121,2022,SCH_126,Navsari,Rural,Female,SC,12,Low,85.6,20.12,Medium,Medium,Yes,Primary,No,Yes,Yes,No,7,Secondary,No,1,1,1,0,44,Medium,NO,Travel Constraint,Provide Transport,Monitor
STU_GUJ_000361,2024,SCH_147,Dahod,Rural,Female,ST,1,Low,79.0,22.06,High,Low,Yes,Secondary,Yes,Yes,No,No,5,Illiterate,Yes,0,0,1,0,37,Low,NO,Travel Constraint,Provide Transport,Low Priority
STU_GUJ_009664,2019,SCH_172,Patan,Rural,Female,SC,6,Low,44.0,16.14,Low,Medium,No,Primary,Yes,Yes,No,No,8,Illiterate,No,0,0,1,1,42,Medium,NO,Academic Disengagement,Counselling Support,Monitor
STU_GUJ_005278,2024,SCH_178,Kutch,Rural,Female,OBC,2,Low,87.4,4.87,Medium,Medium,No,Primary,No,No,Yes,No,4,Primary,Yes,0,0,0,0,33,Low,NO,Social Factor,Community Engagement,Low Priority
STU_GUJ_008547,2021,SCH_080,Junagadh,Rural,Male,General,4,Very Low,46.7,1.0,High,Medium,No,Illiterate,Yes,Yes,No,No,2,Secondary,Yes,0,0,0,1,31,Low,NO,Academic Disengagement,Counselling Support,Low Priority
STU_GUJ_002222,2024,SCH_060,Anand,Rural,Female,OBC,8,Medium,81.3,19.19,High,Low,Yes,Secondary,No,Yes,No,No,7,Primary,No,1,0,1,0,28,Low,NO,Travel Constraint,Provide Transport,Low Priority
STU_GUJ_004618,2019,SCH_110,Anand,Rural,Male,General,2,Medium,89.7,16.26,Low,Low,Yes,Illiterate,Yes,Yes,No,No,5,Primary,No,0,0,1,0,23,Low,NO,Travel Constraint,Provide Transport,Low Priority
